金融新老客,预授信,历史授信状态,进件渠道,额度状态,电商历史是否有单,到站PV,到站UV,商品详情点击率PV,商品详情点击率UV,提单率PV,提单率UV,收银台转化率PV,收银台转化率UV,支付成功率PV,支付成功率UV,商详付费转化率PV,商详付费转化率UV,订单单价,客单价
老客,非预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,有有效订单,231209,1342,0.89%,41.80%,110.43%,152.77%,67.76%,89.51%,37.28%,50.24%,14.33%,37.08%,"8,016","11,407"
新客,预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,无有效订单,52870,409,0.73%,32.52%,64.96%,70.59%,18.37%,28.95%,8.99%,14.58%,2.06%,5.26%,4183.5125,4781.1571
老客,非预授信,新授信,其它,非提额,有有效订单,288456,1760,0.98%,41.99%,113.93%,153.82%,65.85%,83.29%,34.69%,48.31%,12.37%,32.88%,"8,381","12,036"
新客,预授信,非新授信,01_内部渠道_D_自然流量及其他,提额,无有效订单,22429,352,0.56%,15.91%,51.11%,55.17%,32.00%,35.71%,13.04%,18.75%,2.40%,5.36%,7371.5467,7371.5467
新客,非预授信,非新授信,01_内部渠道_A_信息流投放,无额度,有有效订单,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0
新客,预授信,非新授信,01_内部渠道_D_自然流量及其他,无额度,无有效订单,25190,393,0.72%,24.68%,87.50%,92.00%,22.08%,35.00%,0.00%,0.00%,0.00%,0.00%,0,0
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,无额度,有有效订单,251,3,0.80%,66.67%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0
新客,预授信,非新授信,01_内部渠道_D_自然流量及其他,非提额,无有效订单,162931,2249,0.68%,19.39%,55.98%,66.30%,27.84%,33.33%,14.09%,20.49%,2.82%,5.73%,4826.0029,5984.2436
新客,非预授信,非新授信,01_内部渠道_B_信息流投放,非提额,有有效订单,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0
新客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,提额,有有效订单,5398,15,1.04%,66.67%,147.83%,140.00%,60.61%,116.67%,35.29%,85.71%,21.43%,60.00%,"7,582","15,163"
老客,非预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,无有效订单,14521,201,1.09%,41.79%,53.68%,77.27%,36.54%,47.06%,9.80%,11.76%,3.16%,4.76%,3677.4,4596.75
新客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,无额度,有有效订单,282116,3214,0.93%,35.66%,148.74%,173.20%,69.15%,75.34%,0.63%,0.99%,0.38%,0.87%,357,357
老客,非预授信,新授信,其它,非提额,无有效订单,27012,249,0.82%,44.58%,65.81%,84.75%,37.97%,28.00%,3.90%,6.00%,1.36%,2.70%,1977.6333,1977.6333
新客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,非提额,有有效订单,63910,341,0.81%,45.16%,108.61%,141.67%,52.13%,81.71%,37.44%,61.76%,16.41%,40.91%,"4,690","6,328"
新客,非预授信,非新授信,其它,提额,有有效订单,12854,49,0.77%,42.86%,45.68%,106.25%,47.27%,87.50%,62.16%,82.35%,23.23%,66.67%,"7,175","11,787"
老客,非预授信,非新授信,01_内部渠道_B_信息流投放,非提额,无有效订单,206,1,2.91%,100.00%,0%,0%,0%,0%,0%,0%,0.00%,0.00%,0,0
新客,非预授信,非新授信,其它,无额度,有有效订单,360909,4237,1.05%,37.27%,140.16%,168.61%,67.38%,75.87%,1.21%,1.59%,0.68%,1.39%,"5,107","6,035"
新客,非预授信,非新授信,其它,非提额,有有效订单,108709,814,0.81%,27.15%,88.75%,121.24%,49.32%,82.64%,42.96%,70.07%,13.86%,43.44%,"6,591","8,376"
老客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,非提额,无有效订单,41411,527,0.98%,39.09%,60.45%,86.32%,29.36%,28.05%,8.41%,10.98%,2.22%,4.37%,8540.8889,8540.8889
老客,非预授信,非新授信,01_内部渠道_A_信息流投放,非提额,有有效订单,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0
老客,非预授信,非新授信,其它,非提额,无有效订单,47578,495,0.84%,38.99%,50.26%,65.91%,21.82%,25.86%,11.34%,12.07%,2.74%,3.63%,2455.8818,3859.2429
老客,非预授信,非新授信,01_内部渠道_B_信息流投放,非提额,有有效订单,68,1,0.00%,0.00%,0%,0%,0%,0%,0%,0%,0%,0%,0,0
老客,预授信,新授信,01_内部渠道_D_自然流量及其他,非提额,无有效订单,611,3,1.80%,66.67%,83.33%,100.00%,25.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0,0
老客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,提额,有有效订单,54,2,1.85%,50.00%,0%,0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0
老客,预授信,非新授信,01_内部渠道_D_自然流量及其他,提额,无有效订单,352,5,1.14%,20.00%,0.00%,0.00%,0%,0%,0%,0%,0.00%,0.00%,0,0
老客,非预授信,非新授信,01_内部渠道_D_自然流量及其他,非提额,有有效订单,496137,3254,0.82%,36.72%,91.58%,154.28%,67.68%,89.61%,37.55%,51.45%,14.41%,35.73%,"9,383","12,921"
老客,预授信,非新授信,01_内部渠道_D_自然流量及其他,非提额,无有效订单,11855,124,0.93%,36.29%,51.22%,70.00%,47.83%,35.71%,14.29%,21.43%,2.73%,6.67%,4447.0333,4447.0333
老客,非预授信,非新授信,其它,非提额,有有效订单,447895,3337,0.96%,38.63%,111.46%,151.49%,62.25%,78.79%,40.70%,55.49%,15.43%,37.24%,"9,465","13,113"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
